Date ,Open ,High ,Low ,Close ,Daily Return(Adjusted)
06-Apr-16,15750.15,15768.55,15578.55,15636.95,-0.754178938
07-Jun-16,17796.55,18000.95,17713.35,17948.15,0.081708284
09-Aug-16,18968.65,19008.15,18838.6,18933.3,0.178340706
04-Oct-16,19641.75,19747.45,19527.35,19672.7,-0.074392114
07-Dec-16,18515.5,18588.75,17952.6,18234.15,-0.091320644
08-Feb-17,20335.25,20362.8,20070.15,20245.4,0.132011985
06-Apr-17,21572.7,21674,21488.9,21622.95,0.144691707
07-Jun-17,23482.85,23606.15,23427.55,23567.65,0.026367524
02-Aug-17,25190.4,25198.8,24926.25,25055.2,-0.028209959
04-Oct-17,24124.15,24230.45,24058.65,24113.3,0.07004879
06-Dec-17,25066.3,25077.45,24813.6,24851.8,-0.288002091
07-Feb-18,26065.4,26078.4,25558.05,25670,-0.849134598
05-Apr-18,24394.45,24824.9,24380.85,24759.8,0.304516318
06-Jun-18,26266.9,26425.2,26147.8,26367.6,0.122905492
01-Aug-18,27684.8,27820.15,27477.9,27596.6,0.3454342
05-Oct-18,24741.65,25080.2,24250.65,24443.45,-0.103355375
05-Dec-18,26572.1,26627.35,26443.65,26519.6,-0.118050389
07-Feb-19,27424.1,27589.75,27322.95,27387.15,-0.167024263
04-Apr-19,30147.3,30245.7,29809.9,29904.9,-0.225403075
06-Jun-19,31523.95,31541.5,30800.8,30857.4,-0.112688738
07-Aug-19,28053.85,28175.55,27641.85,27702.05,-0.322843159
04-Oct-19,28681.9,28730.3,27653.7,27731.85,-0.73057239
05-Dec-19,32083.8,32126.95,31628.3,31712.95,-0.301071012
06-Feb-20,31070.75,31470.65,30917.25,31304.05,0.245964484
27-Mar-20,20801.6,21462.4,19580.1,19969,-1.534897714
09-Apr-20,19553.15,19988.3,19166.9,19913.6,0.989943145
21-May-20,17901.95,18200.7,17658.55,17735.1,0.123985832
06-Aug-20,21644.25,21926.55,21370.3,21642.6,0.320255457
09-Oct-20,23312.6,23904.1,23132.45,23846.8,0.421558919
04-Dec-20,29573.4,30162.3,29473.5,30052.4,0.360454165
05-Feb-21,35634.95,36615.2,35545,35654.5,1.788251269
07-Apr-21,32529.7,33191.7,32141.55,32991.2,-0.679578177
04-Jun-21,35657.85,35810.9,35176.15,35291.65,2.35E-05
06-Aug-21,35875.8,36080.1,35700.45,35809.25,0.431149507
08-Oct-21,37906.4,38105.2,37674.35,37775.25,0.618111464
09-Dec-21,37331.75,37397.55,36884.45,37082.45,0.092096881
10-Feb-22,38801.45,39197.2,38520,39010.95,-0.283166281
08-Apr-22,37619.7,37884.2,37405.2,37752.05,-0.112782694
08-Jun-22,35165.65,35449.9,34831.75,34946.15,-0.736500456
05-Aug-22,37868.25,38150.45,37779.9,37920.6,0.453228802
30-Sep-22,37660,38811,37386.35,38631.95,-0.089502742
07-Dec-22,43157.35,43327.35,42948.45,43098.7,0.183673348
08-Feb-23,41542.05,41791.95,41403.05,41537.65,0.31025093
06-Apr-23,40940.7,41274.7,40820.55,41041,0.702407525
08-Jun-23,44208.3,44459.25,43917.9,43995.25,0.05056807
10-Aug-23,44797.65,44980.35,44418.4,44541.8,-0.155186123
06-Oct-23,44395.4,44500.7,44242.95,44360.6,0.077022508
08-Dec-23,46797.2,47303.65,46793.9,47262,0.710518434
08-Feb-24,45973.85,46181.2,44893.75,45012,-0.061563531
05-Apr-24,48104.65,48557.4,47894.5,48493.05,0.336508145
07-Jun-24,49316.95,49943.2,49080.45,49803.2,0.251931124
08-Aug-24,50051.9,50440.75,49829.6,50156.7,-0.397436826
09-Oct-24,51161.75,51707.15,50903.75,51007,-0.208439383
